"module name","licenses"
"jackspeak@3.4.3","BlueOak-1.0.0"
"jiti@1.21.7","MIT"
"jose@5.9.6","MIT"
"js-tokens@4.0.0","MIT"
"lilconfig@3.1.3","MIT"
"lines-and-columns@1.2.4","MIT"
"loose-envify@1.4.0","MIT"
"lru-cache@10.4.3","ISC"
"lucide-react@0.274.0","ISC"
"merge2@1.4.1","MIT"
"micromatch@4.0.8","MIT"
"minimatch@9.0.5","ISC"
"minipass@7.1.2","ISC"
"mz@2.7.0","MIT"
"nanoid@3.3.8","MIT"
"next-auth@5.0.0-beta.25","ISC"
"next@15.1.3","MIT"
"normalize-path@3.0.0","MIT"
"oauth4webapi@3.1.4","MIT"
"object-assign@4.1.1","MIT"
"object-hash@3.0.0","MIT"
"package-json-from-dist@1.0.1","BlueOak-1.0.0"
"path-key@3.1.1","MIT"
"path-parse@1.0.7","MIT"
"path-scurry@1.11.1","BlueOak-1.0.0"
"picocolors@1.1.1","ISC"
"picomatch@2.3.1","MIT"
"pify@2.3.0","MIT"
"pirates@4.0.6","MIT"
"postcss-import@15.1.0","MIT"
"postcss-js@4.0.1","MIT"
"postcss-load-config@4.0.2","MIT"
"postcss-nested@6.2.0","MIT"
"postcss-selector-parser@6.1.2","MIT"
"postcss-value-parser@4.2.0","MIT"
"postcss@8.4.31","MIT"
"postcss@8.4.49","MIT"
"preact-render-to-string@5.2.3","MIT"
"preact@10.11.3","MIT"
"pretty-format@3.8.0","MIT"
"queue-microtask@1.2.3","MIT"
"react-dom@18.3.1","MIT"
"react-remove-scroll-bar@2.3.8","MIT"
"react-remove-scroll@2.6.2","MIT"
"react-style-singleton@2.2.3","MIT"
"react@18.3.1","MIT"
"read-cache@1.0.0","MIT"
"readdirp@3.6.0","MIT"
"resolve@1.22.10","MIT"
"reusify@1.0.4","MIT"
"run-parallel@1.2.0","MIT"
"scheduler@0.23.2","MIT"
"semver@7.6.3","ISC"
"sharp@0.33.5","Apache-2.0"
"shebang-command@2.0.0","MIT"
"shebang-regex@3.0.0","MIT"
"signal-exit@4.1.0","ISC"
"simple-swizzle@0.2.2","MIT"
"source-map-js@1.2.1","BSD-3-Clause"
"streamsearch@1.1.0","MIT"
"string-width@4.2.3","MIT"
"string-width@5.1.2","MIT"
"strip-ansi@6.0.1","MIT"
"strip-ansi@7.1.0","MIT"
"styled-jsx@5.1.6","MIT"
"sucrase@3.35.0","MIT"
"supports-preserve-symlinks-flag@1.0.0","MIT"
"tailwind-merge@1.14.0","MIT"
"tailwindcss-animate@1.0.7","MIT"
"tailwindcss@3.4.17","MIT"
"thenify-all@1.6.0","MIT"
"thenify@3.3.1","MIT"
"to-regex-range@5.0.1","MIT"
"ts-interface-checker@0.1.13","Apache-2.0"
"tslib@2.8.1","0BSD"
"use-callback-ref@1.3.3","MIT"
"use-sidecar@1.1.3","MIT"
"util-deprecate@1.0.2","MIT"
"which@2.0.2","ISC"
"wrap-ansi@7.0.0","MIT"
"wrap-ansi@8.1.0","MIT"
"yaml@2.7.0","ISC"

